,codeuai,NOM_COLLEGE,Nom_commune,effectif,IPS,type_secteur,NB_FOYERS_COLLEGIENS,NB_COLLEGIENS,longitude,latitude,C19_POP15P,C19_POP15ACT,DIFF_LOG0ACT,DIFF_LOG1ACT,DIFF_LOG2ACT,DIFF_DIP0,DIFF_DIPBRE,DIFF_DIPCAP,DIFF_DIPBAC,DIFF_DIPMAS,DIFF_CS1,DIFF_CS2,DIFF_CS3,DIFF_CS4,DIFF_CS5,DIFF_CS6,DIFF_CS7,DIFF_CS8,DIFF_MONOPARENT,DIFF_EMPLOICDI,DIFF_LOGSOCIAL,DIFF_ACTIV_ACTIFS,DIFF_ACTIV_CHOMEURS,DIFF_ACTIV_ETUDIANT_STAGE,DIFF_ACTIV_AU_FOYER,DIFF_IMMIGRES,cat_CS1,cat_CS2,cat_CS3,cat_CS4,cat_CS5,cat_CS6,cat_CS7,cat_CS8,cat_LOG0ACT,cat_LOG1ACT,cat_LOG2ACT,cat_DIP0,cat_DIPBRE,cat_DIPCAP,cat_DIPBAC,cat_DIPMAS,cat_MONOPARENT,cat_EMPLOICDI,cat_LOGSOCIAL,cat_ACTIV_ACTIFS,cat_ACTIV_CHOMEURS,cat_ACTIV_ETUDIANT_STAGE,cat_ACTIV_AU_FOYER,cat_IMMIGRES,%_LOG0ACT,%_LOG1ACT,%_LOG2ACT,%_DIP0,%_DIPBRE,%_DIPCAP,%_DIPBAC,%_DIPMAS,%_CS1,%_CS2,%_CS3,%_CS4,%_CS5,%_CS6,%_CS7,%_CS8,%_MONOPARENT,%_EMPLOICDI,%_LOGSOCIAL,%_ACTIV_ACTIFS,%_ACTIV_CHOMEURS,%_ACTIV_ETUDIANT_STAGE,%_ACTIV_AU_FOYER,%_IMMIGRES,C19_POP15P_CS1,C19_POP15P_CS2,C19_POP15P_CS3,C19_POP15P_CS4,C19_POP15P_CS5,C19_POP15P_CS6,C19_POP15P_CS7,C19_POP15P_CS8,DIPLOM_AUCUN,DIPLOM_BREVET,DIPLOM_CAP_BAC,DIPLOM_BACPRO_BTS_LIC,DIPLOM_MASTER_DOC,ACTIF_LOG_AUCUN,ACTIF_LOG_UN,ACTIF_LOG_DEUX,MONOPARENT,EMPLOICDI,LOGSOCIAL,ACTIV_ACTIFS,ACTIV_CHOMEURS,ACTIV_ETUDIANT_STAGE,ACTIV_AU_FOYER,IMMIGRES
23,0593237Y,Collège Gernez Rieux,Ronchin,488.0,91.9,exclusif,375.0,586.0,3.09079,50.59831,8692.0,8691.0,1.6,3.0,-3.5,3.0,0.1,-3.4,2.6,-2.4,-0.1,0.1,-1.4,0.6,2.8,-0.7,2.3,-3.7,0.6,-3.3,5.3,-1.5,1.8,0.0,-0.9,11.2,moyen,moyen,moyen,moyen,moyen,moyen,moyen,moyen,moyen,moyen,moyen,moyen,moyen,moyen,moyen,moyen,moyen,moyen,A1,moyen,moyen,moyen,moyen,A2,13.9,36.3,47.7,14.9,4.8,26.4,40.5,13.3,0.0,2.7,10.7,15.7,18.8,10.7,23.2,18.2,24.3,63.7,31.7,81.9,13.6,0.3,1.1,24.8,3.0,231.0,928.0,1366.0,1635.0,934.0,2016.0,1578.0,56.0,18.0,99.0,152.0,50.0,52.0,136.0,179.0,91.0,239.0,119.0,307.0,51.0,1.0,4.0,93.0
24,0593239A,Collège Boris Vian,Croix,539.0,92.0,exclusif,585.0,917.0,3.14996,50.68344,17178.0,17178.0,0.5,3.6,-2.3,-0.8,-0.4,-3.5,1.9,2.8,-0.0,0.2,2.2,1.6,-1.5,-2.0,2.8,-3.3,4.0,-3.6,-4.5,-1.0,0.3,0.2,0.6,-2.0,moyen,moyen,moyen,moyen,moyen,moyen,moyen,moyen,moyen,moyen,moyen,moyen,moyen,moyen,moyen,moyen,moyen,moyen,moyen,moyen,moyen,moyen,moyen,moyen,12.8,36.9,48.9,11.1,4.3,26.3,39.8,18.5,0.1,2.8,14.3,16.7,14.5,9.4,23.7,18.6,27.7,63.4,21.9,82.4,12.1,0.5,2.6,11.6,9.0,475.0,2448.0,2863.0,2492.0,1619.0,4071.0,3201.0,65.0,25.0,154.0,233.0,108.0,75.0,216.0,286.0,162.0,371.0,128.0,482.0,71.0,3.0,15.0,68.0
25,0593240B,Collège Gambetta,Lys-lez-Lannoy,669.0,92.2,exclusif,1036.0,1581.0,3.21542,50.67871,16506.0,16505.0,-3.1,-2.1,5.4,-2.3,-0.2,0.3,4.2,-1.9,0.1,0.3,-2.9,1.0,1.7,1.6,4.6,-6.4,-1.4,3.1,-5.6,3.6,-1.8,-0.2,-0.6,-7.4,moyen,moyen,moyen,moyen,moyen,moyen,moyen,b1,moyen,moyen,A1,moyen,moyen,moyen,moyen,moyen,moyen,moyen,b1,moyen,moyen,moyen,moyen,b1,9.2,31.2,56.6,9.6,4.5,30.1,42.1,13.8,0.2,2.9,9.2,16.1,17.7,13.0,25.5,15.5,22.3,70.1,20.8,87.0,10.0,0.1,1.4,6.2,33.0,478.0,1515.0,2662.0,2920.0,2140.0,4203.0,2554.0,99.0,47.0,312.0,436.0,143.0,95.0,323.0,586.0,231.0,726.0,216.0,901.0,104.0,1.0,14.0,64.0
26,0593241C,Collège Albert Calmette,Wasquehal,391.0,103.6,exclusif,544.0,822.0,3.12616,50.66884,16832.0,16832.0,-2.4,1.1,0.6,-2.0,-0.7,-4.2,-0.2,7.1,-0.1,0.5,4.6,1.2,-1.3,-3.2,5.1,-6.9,0.2,1.2,3.0,2.1,-1.1,0.8,-1.1,-0.9,moyen,moyen,moyen,moyen,moyen,moyen,A1,b1,moyen,moyen,moyen,moyen,moyen,moyen,moyen,A1,moyen,moyen,moyen,moyen,moyen,moyen,moyen,moyen,9.9,34.4,51.8,9.9,4.0,25.6,37.7,22.8,0.0,3.1,16.7,16.3,14.7,8.2,26.0,15.0,23.9,68.2,29.4,85.5,10.7,1.1,0.9,12.7,0.0,520.0,2818.0,2738.0,2482.0,1377.0,4371.0,2526.0,54.0,22.0,139.0,205.0,124.0,54.0,187.0,282.0,130.0,371.0,160.0,465.0,58.0,6.0,5.0,69.0
27,0593242D,Collège Gustave Nadaud,Wattrelos,600.0,77.2,exclusif,759.0,1174.0,3.19783,50.70885,17283.0,17282.0,1.0,3.3,-5.6,7.5,2.7,12.5,-9.0,-13.6,-0.1,-0.6,-9.3,-3.1,3.3,10.0,2.4,-2.7,-0.1,-0.2,6.0,-1.2,0.6,0.0,0.4,-0.3,moyen,moyen,b1,moyen,moyen,A1,moyen,moyen,moyen,moyen,b1,A1,moyen,A2,b1,b2,moyen,moyen,A1,moyen,moyen,moyen,moyen,moyen,13.3,36.6,45.6,19.4,7.4,42.3,28.9,2.1,0.0,2.0,2.8,12.0,19.3,21.4,23.3,19.2,23.6,66.8,32.4,82.2,12.4,0.3,2.4,13.3,5.0,339.0,491.0,2071.0,3335.0,3697.0,4032.0,3312.0,147.0,56.0,321.0,219.0,16.0,101.0,278.0,346.0,179.0,507.0,246.0,624.0,94.0,2.0,18.0,101.0
28,0593244F,Collège Philippe de Commynes,Comines,410.0,83.5,exclusif,1593.0,2443.0,3.01259,50.75807,22280.0,22280.0,-5.1,-5.0,8.9,-0.3,-0.3,1.4,3.9,-4.6,0.3,0.3,-3.8,0.0,-0.8,5.6,3.2,-4.9,-3.5,7.1,-2.2,5.7,-2.6,-0.2,-1.1,-5.6,moyen,moyen,moyen,moyen,moyen,A1,moyen,moyen,b1,moyen,A1,moyen,moyen,moyen,moyen,moyen,moyen,A1,moyen,A1,moyen,moyen,moyen,b1,7.2,28.3,60.1,11.6,4.4,31.2,41.8,11.1,0.4,2.9,8.3,15.1,15.2,17.0,24.1,17.0,20.2,74.1,24.2,89.1,9.2,0.1,0.9,8.0,88.0,650.0,1860.0,3359.0,3381.0,3782.0,5373.0,3787.0,184.0,70.0,497.0,666.0,177.0,115.0,451.0,958.0,322.0,1180.0,385.0,1419.0,147.0,2.0,15.0,128.0
29,0593246H,Collège Desrousseaux,Armentières,633.0,83.8,exclusif,551.0,856.0,2.89093,50.68857,12772.0,12773.0,4.6,4.1,-7.3,5.3,1.7,10.7,-7.0,-10.6,-0.1,-1.0,-7.4,-2.1,4.0,6.1,2.6,-2.1,5.2,-3.7,6.3,-6.6,5.4,0.2,0.9,-1.3,moyen,moyen,b1,moyen,moyen,A1,moyen,moyen,moyen,moyen,b1,A1,moyen,A2,b1,b2,A1,moyen,A1,b1,A1,moyen,moyen,moyen,16.9,37.4,43.9,17.2,6.4,40.5,30.9,5.1,0.0,1.6,4.7,13.0,20.0,17.5,23.5,19.8,28.9,63.3,32.7,76.8,17.2,0.5,2.9,12.3,0.0,202.0,597.0,1656.0,2549.0,2233.0,3004.0,2532.0,95.0,35.0,223.0,170.0,28.0,93.0,206.0,242.0,159.0,349.0,180.0,423.0,95.0,3.0,16.0,68.0
30,0593474F,Collège professeur Albert Debeyre,Marquette-lez-Lille,551.0,113.8,exclusif,1366.0,2136.0,3.06783,50.68041,17284.0,17285.0,-5.6,-4.7,10.1,-4.6,-0.7,-1.1,5.1,1.2,0.1,0.6,1.8,2.5,0.7,-1.0,2.3,-7.1,-4.7,7.2,-7.7,5.8,-3.7,-0.2,-1.2,-7.7,moyen,moyen,moyen,moyen,moyen,moyen,moyen,b1,b1,moyen,A2,moyen,moyen,moyen,A1,moyen,moyen,A1,b1,A1,moyen,moyen,moyen,b1,6.7,28.6,61.3,7.3,4.0,28.7,43.0,16.9,0.2,3.2,13.9,17.6,16.7,10.4,23.2,14.8,19.0,74.2,18.7,89.2,8.1,0.1,0.8,5.9,36.0,551.0,2396.0,3041.0,2890.0,1799.0,4014.0,2558.0,100.0,55.0,392.0,588.0,231.0,91.0,390.0,837.0,259.0,1013.0,256.0,1219.0,110.0,1.0,11.0,81.0
31,0593475G,Collège Léon Blum,Wavrin,520.0,106.1,exclusif,1183.0,1796.0,2.96607,50.57038,10589.0,10590.0,-6.6,-5.7,10.7,-5.6,-0.8,0.5,7.7,-1.8,0.4,1.1,-1.6,4.0,0.5,-0.8,3.6,-7.4,-4.0,9.5,-11.5,8.1,-5.6,0.0,-1.5,-11.1,moyen,moyen,moyen,moyen,moyen,moyen,moyen,b1,b1,b1,A2,b1,moyen,moyen,A1,moyen,moyen,A1,b2,A1,b1,moyen,moyen,b2,5.7,27.6,61.9,6.3,3.9,30.3,45.6,13.9,0.5,3.7,10.5,19.1,16.5,10.6,24.5,14.5,19.7,76.5,14.9,91.5,6.2,0.3,0.5,2.5,55.0,394.0,1116.0,2024.0,1744.0,1125.0,2597.0,1535.0,75.0,46.0,358.0,539.0,165.0,68.0,327.0,732.0,233.0,905.0,176.0,1083.0,73.0,3.0,6.0,30.0
32,0593476H,Collège Jean Mermoz,Faches-Thumesnil,413.0,112.8,exclusif,281.0,421.0,3.07204,50.59611,7076.0,7075.0,-4.8,0.5,4.0,-3.7,-1.1,0.4,4.1,0.0,-0.0,0.1,0.9,2.7,0.4,-3.0,6.4,-7.6,1.2,6.0,-2.9,4.1,-0.4,-0.3,-1.3,0.6,moyen,moyen,moyen,moyen,moyen,moyen,A1,b1,moyen,moyen,moyen,moyen,moyen,moyen,moyen,moyen,moyen,A1,moyen,moyen,moyen,moyen,moyen,moyen,7.5,33.8,55.2,8.2,3.6,30.2,42.0,15.7,0.1,2.7,13.0,17.8,16.4,8.4,27.3,14.3,24.9,73.0,23.5,87.5,11.4,0.0,0.7,14.2,9.0,193.0,922.0,1257.0,1160.0,595.0,1928.0,1011.0,23.0,10.0,85.0,118.0,44.0,21.0,95.0,155.0,70.0,205.0,66.0,246.0,32.0,0.0,2.0,40.0
33,0593658F,Collège Yvonne Abbas,La Madeleine,450.0,95.5,exclusif,460.0,719.0,3.06512,50.65266,18059.0,18059.0,-0.1,4.3,-2.7,-1.9,-0.1,-7.2,-5.7,15.0,-0.1,0.0,9.2,2.5,-1.6,-3.8,0.8,-7.2,3.7,-3.5,5.6,-1.9,1.9,0.4,-0.7,-0.3,moyen,moyen,A1,moyen,moyen,moyen,moyen,b1,moyen,moyen,moyen,moyen,moyen,b1,b1,A2,moyen,moyen,A1,moyen,moyen,moyen,moyen,moyen,12.2,37.6,48.5,10.0,4.6,22.6,32.2,30.7,0.0,2.6,21.3,17.6,14.4,7.6,21.7,14.7,27.4,63.5,32.0,81.5,13.7,0.7,1.3,13.3,1.0,471.0,3853.0,3181.0,2608.0,1370.0,3927.0,2648.0,46.0,21.0,104.0,148.0,141.0,56.0,173.0,223.0,126.0,292.0,147.0,375.0,63.0,3.0,6.0,61.0
34,0593660H,Collège René Descartes,Loos,298.0,78.5,exclusif,321.0,490.0,3.00671,50.60889,8300.0,8299.0,8.9,9.4,-17.2,3.1,2.5,11.0,-7.7,-8.5,-0.0,-0.8,-5.7,-0.4,2.8,4.2,-0.1,-0.0,8.4,-9.4,34.0,-11.1,7.8,0.3,0.2,10.1,moyen,moyen,b1,moyen,moyen,moyen,moyen,moyen,A1,A1,b2,moyen,moyen,A2,b1,b1,A1,b1,A2,b2,A1,moyen,moyen,A2,21.2,42.7,34.0,15.0,7.2,40.8,30.2,7.2,0.1,1.8,6.4,14.7,18.8,15.6,20.8,21.9,32.1,57.6,60.4,72.3,19.6,0.6,2.2,23.7,5.0,151.0,529.0,1218.0,1562.0,1291.0,1725.0,1818.0,48.0,23.0,131.0,97.0,23.0,68.0,137.0,109.0,103.0,185.0,194.0,232.0,63.0,2.0,7.0,76.0
35,0593662K,Collège Jean Demailly,Seclin,511.0,92.6,exclusif,420.0,627.0,3.01488,50.54375,10048.0,10049.0,-4.0,7.4,-3.1,-0.7,1.0,-2.4,3.8,-1.7,0.1,-0.5,-2.1,-0.5,1.9,1.0,5.4,-5.5,5.1,3.0,5.7,3.0,-0.1,-0.1,-1.3,-5.0,moyen,moyen,moyen,moyen,moyen,moyen,A1,b1,moyen,A1,moyen,moyen,moyen,moyen,moyen,moyen,A1,moyen,A1,moyen,moyen,moyen,moyen,moyen,8.3,40.7,48.1,11.2,5.7,27.4,41.7,14.0,0.2,2.1,10.0,14.6,17.9,12.4,26.3,16.4,28.8,70.0,32.1,86.4,11.7,0.2,0.7,8.6,22.0,213.0,1008.0,1472.0,1800.0,1245.0,2643.0,1646.0,47.0,24.0,115.0,175.0,59.0,35.0,171.0,202.0,121.0,294.0,135.0,363.0,49.0,1.0,3.0,36.0
36,0593667R,Collège Rosa-Parks,Roubaix,605.0,61.4,exclusif,524.0,979.0,3.18646,50.70143,11108.0,11109.0,24.7,10.8,-34.2,32.4,-0.1,3.6,-22.8,-13.2,-0.1,-0.2,-10.5,-9.3,-0.5,9.3,-5.4,16.6,4.0,-27.3,12.3,-27.3,17.4,0.7,5.8,30.5,moyen,moyen,b2,b1,moyen,A1,b1,A2,A2,A2,b2,A2,moyen,moyen,b2,b2,moyen,b2,A2,b2,A2,moyen,A1,A2,37.0,44.1,17.0,44.3,4.6,33.4,15.1,2.5,0.0,2.4,1.6,5.8,15.5,20.7,15.5,38.5,27.7,39.7,38.7,56.1,29.2,1.0,7.8,44.1,0.0,267.0,176.0,645.0,1719.0,2301.0,1720.0,4281.0,232.0,24.0,175.0,79.0,13.0,194.0,231.0,89.0,145.0,208.0,203.0,294.0,153.0,5.0,41.0,231.0
37,0593668S,Collège Paul Eluard,Roncq,262.0,98.0,exclusif,468.0,726.0,3.12582,50.74976,10886.0,10887.0,-6.1,-1.9,6.7,-2.7,-2.3,-1.8,11.0,-3.9,-0.0,1.2,-1.8,1.5,1.0,-0.3,6.0,-7.6,4.1,6.7,-8.0,7.6,-4.3,0.1,-1.1,-8.5,moyen,moyen,moyen,moyen,moyen,moyen,A1,b1,b1,moyen,A1,moyen,moyen,moyen,A2,moyen,moyen,A1,b1,A1,moyen,moyen,moyen,b1,6.2,31.4,57.9,9.2,2.4,28.0,48.9,11.8,0.1,3.8,10.3,16.6,17.0,11.1,26.9,14.3,27.8,73.7,18.4,91.0,7.5,0.4,0.9,5.1,15.0,412.0,1119.0,1802.0,1851.0,1207.0,2924.0,1557.0,43.0,11.0,131.0,229.0,55.0,29.0,147.0,271.0,130.0,345.0,86.0,426.0,35.0,2.0,4.0,24.0
38,0593991T,Collège Théodore Monod,Lesquin,504.0,119.8,exclusif,1359.0,2091.0,3.11158,50.59047,12978.0,12978.0,-8.2,-6.1,14.3,-6.4,-2.3,-7.7,8.8,7.6,0.1,0.3,4.8,4.5,-1.6,-2.7,1.7,-7.2,-5.4,8.6,-11.5,8.9,-5.6,-0.1,-1.6,-8.7,moyen,moyen,moyen,moyen,moyen,moyen,moyen,b1,b1,b1,A2,b1,moyen,b1,A1,A1,b1,A1,b2,A1,b1,moyen,moyen,b1,4.1,27.2,65.5,5.5,2.4,22.1,46.7,23.3,0.2,2.9,16.9,19.6,14.4,8.7,22.6,14.7,18.3,75.6,14.9,92.3,6.2,0.2,0.4,4.9,31.0,378.0,2189.0,2540.0,1869.0,1133.0,2935.0,1903.0,75.0,32.0,301.0,634.0,316.0,56.0,370.0,890.0,249.0,1027.0,202.0,1254.0,84.0,3.0,5.0,67.0
39,0594287P,Collège Rouges Barres,Marcq-en-Baroeul,401.0,110.2,exclusif,558.0,840.0,3.09488,50.65707,17098.0,17097.0,-3.2,6.3,-1.9,-5.1,-1.3,-10.6,-6.0,23.0,-0.1,0.3,11.0,1.1,-4.4,-5.6,4.7,-7.1,3.2,2.9,-0.8,4.6,-3.0,0.6,-1.3,-3.0,moyen,moyen,A2,moyen,moyen,b1,moyen,b1,moyen,A1,moyen,b1,moyen,b2,b1,A2,moyen,moyen,moyen,moyen,moyen,moyen,moyen,moyen,9.1,39.6,49.3,6.8,3.4,19.2,31.9,38.7,0.0,2.9,23.1,16.2,11.6,5.8,25.6,14.8,26.9,69.9,25.6,88.0,8.8,0.9,0.7,10.6,6.0,489.0,3949.0,2764.0,1991.0,986.0,4375.0,2537.0,38.0,19.0,107.0,178.0,216.0,51.0,221.0,275.0,150.0,390.0,143.0,491.0,49.0,5.0,4.0,59.0
40,0594288R,Collège Louise Michel,Lille,424.0,64.1,exclusif,419.0,734.0,3.04626,50.60615,9157.0,9158.0,24.2,6.8,-29.2,22.0,3.2,3.1,-18.8,-9.5,-0.1,-1.3,-5.7,-4.6,1.0,3.5,-9.0,16.0,6.4,-25.2,50.7,-24.0,13.5,-0.1,4.9,33.4,moyen,moyen,b1,moyen,moyen,moyen,b1,A2,A2,A1,b2,A2,moyen,moyen,b2,b1,A1,b2,A2,b2,A2,moyen,moyen,A2,36.5,40.1,22.0,33.9,7.9,32.9,19.1,6.2,0.0,1.3,6.4,10.5,17.0,14.9,11.9,37.9,30.1,41.8,77.1,59.4,25.3,0.2,6.9,47.0,4.0,116.0,588.0,966.0,1559.0,1366.0,1091.0,3468.0,142.0,33.0,138.0,80.0,26.0,153.0,168.0,92.0,126.0,175.0,323.0,249.0,106.0,1.0,29.0,197.0
41,0594291U,Collège Molière,Villeneuve-d'Ascq,532.0,118.6,exclusif,415.0,651.0,3.14632,50.65812,12695.0,12695.0,-7.2,2.4,4.5,-6.1,-1.1,-8.6,6.9,8.6,-0.0,-0.8,4.7,2.9,1.2,-3.6,-0.8,-3.7,-7.6,12.0,-5.4,9.4,-5.8,-0.1,-1.5,-0.8,moyen,moyen,moyen,moyen,moyen,moyen,moyen,moyen,b1,moyen,moyen,b1,moyen,b1,A1,A1,b1,A2,b1,A1,b1,moyen,moyen,moyen,5.1,35.7,55.7,5.8,3.6,21.2,44.8,24.3,0.1,1.8,16.8,18.0,17.2,7.8,20.1,18.2,16.1,79.0,21.0,92.8,6.0,0.2,0.5,12.8,13.0,227.0,2139.0,2283.0,2185.0,985.0,2553.0,2310.0,24.0,15.0,88.0,186.0,101.0,21.0,148.0,231.0,67.0,328.0,87.0,385.0,25.0,1.0,2.0,53.0
42,0594293W,Collège Albert Roussel,Tourcoing,552.0,71.7,exclusif,939.0,1496.0,3.16844,50.7231,22455.0,22455.0,14.4,5.3,-18.9,7.5,2.4,5.5,-5.8,-9.6,-0.1,-0.4,-6.3,-1.1,3.6,6.8,-5.9,3.4,7.9,-14.3,3.0,-15.6,10.2,0.3,2.5,7.9,moyen,moyen,b1,moyen,moyen,A1,b1,moyen,A2,A1,b2,A1,moyen,A1,b1,b1,A1,b2,moyen,b2,A2,moyen,moyen,A1,26.7,38.6,32.3,19.4,7.1,35.3,32.1,6.1,0.0,2.2,5.8,14.0,19.6,18.2,15.0,25.3,31.6,52.7,29.4,67.8,22.0,0.6,4.5,21.5,1.0,485.0,1307.0,3145.0,4391.0,4080.0,3359.0,5687.0,182.0,67.0,331.0,301.0,57.0,251.0,362.0,303.0,297.0,495.0,276.0,637.0,207.0,6.0,42.0,202.0
43,0594386X,Collège le parc,Haubourdin,384.0,106.5,exclusif,1228.0,1871.0,2.97661,50.61484,13548.0,13548.0,-7.1,-7.8,14.4,-7.4,-1.4,-4.4,6.0,7.2,0.4,0.5,0.6,2.4,1.4,-2.6,4.8,-7.5,-9.7,5.3,-15.2,7.2,-4.4,-0.2,-1.3,-9.5,moyen,moyen,moyen,moyen,moyen,moyen,moyen,b1,b1,b1,A2,b1,moyen,moyen,A1,A1,b1,A1,b2,A1,moyen,moyen,moyen,b1,5.2,25.5,65.6,4.5,3.3,25.4,43.9,22.9,0.5,3.1,12.7,17.5,17.4,8.8,25.7,14.4,14.0,72.3,11.2,90.6,7.4,0.1,0.7,4.1,65.0,417.0,1717.0,2368.0,2356.0,1193.0,3478.0,1954.0,55.0,40.0,312.0,539.0,281.0,64.0,313.0,806.0,172.0,888.0,138.0,1112.0,91.0,1.0,8.0,50.0
44,0594389A,Collège Anne Frank,Roubaix,536.0,60.9,exclusif,363.0,644.0,3.1758,50.69404,8383.0,8382.0,34.0,2.8,-34.4,20.9,4.7,7.4,-21.4,-11.6,-0.1,-0.4,-9.9,-7.4,-1.3,6.5,-9.0,21.4,6.3,-36.1,34.2,-37.4,17.4,0.3,9.3,32.7,moyen,moyen,b1,b1,moyen,A1,b1,A2,A2,moyen,b2,A2,moyen,A1,b2,b2,A1,b2,A2,b2,A2,moyen,A1,A2,46.3,36.1,16.8,32.8,9.4,37.2,16.5,4.1,0.0,2.2,2.2,7.7,14.7,17.9,11.9,43.3,30.0,30.9,60.6,46.0,29.2,0.6,11.3,46.3,3.0,185.0,182.0,645.0,1236.0,1503.0,1001.0,3627.0,119.0,34.0,135.0,60.0,15.0,168.0,131.0,61.0,109.0,112.0,220.0,167.0,106.0,2.0,41.0,168.0
45,0594392D,Collège Pablo Néruda,Wattrelos,287.0,85.9,exclusif,317.0,510.0,3.23785,50.70934,7483.0,7484.0,1.9,3.9,-6.7,7.0,-0.6,8.1,-2.9,-11.6,-0.1,-0.6,-8.7,-2.0,3.1,7.6,4.4,-3.8,4.4,-0.8,17.1,-0.8,1.8,-0.3,0.2,-0.0,moyen,moyen,b1,moyen,moyen,A1,moyen,moyen,moyen,moyen,b1,A1,moyen,A1,moyen,b2,moyen,moyen,A2,moyen,moyen,moyen,moyen,moyen,14.2,37.2,44.5,18.9,4.1,37.9,35.0,4.1,0.0,2.0,3.4,13.1,19.1,19.0,25.3,18.1,28.1,66.2,43.5,82.6,13.6,0.0,2.2,13.6,0.0,153.0,252.0,982.0,1426.0,1422.0,1893.0,1356.0,60.0,13.0,120.0,111.0,13.0,45.0,118.0,141.0,89.0,210.0,138.0,262.0,43.0,0.0,7.0,43.0
46,0594394F,Collège Marie Curie,Tourcoing,552.0,74.3,exclusif,885.0,1449.0,3.15455,50.71887,20493.0,20494.0,7.0,6.9,-14.0,5.2,1.2,5.5,-5.9,-5.9,-0.1,0.2,-4.0,-0.9,3.2,4.5,-3.2,0.1,9.5,-6.7,-1.7,-7.5,5.1,-0.1,1.1,6.3,moyen,moyen,moyen,moyen,moyen,moyen,moyen,moyen,A1,A1,b2,A1,moyen,A1,b1,b1,A1,b1,moyen,b1,A1,moyen,moyen,A1,19.3,40.2,37.2,17.1,5.9,35.3,32.0,9.8,0.0,2.8,8.1,14.2,19.2,15.9,17.7,22.0,33.2,60.3,24.7,75.9,16.9,0.2,3.1,19.9,3.0,568.0,1667.0,2916.0,3937.0,3268.0,3619.0,4516.0,151.0,52.0,312.0,283.0,87.0,171.0,356.0,329.0,294.0,534.0,219.0,672.0,150.0,2.0,27.0,176.0
47,0594397J,Collège Jean Rostand,Armentières,472.0,77.9,exclusif,744.0,1174.0,2.86682,50.6878,11115.0,11114.0,1.0,4.5,-6.0,0.3,-0.3,9.2,-1.9,-7.5,-0.0,-0.7,-5.2,-1.3,1.6,2.7,5.5,-2.8,4.0,0.3,0.6,-2.2,1.0,-0.2,1.1,-5.1,moyen,moyen,b1,moyen,moyen,moyen,A1,moyen,moyen,moyen,b1,moyen,moyen,A1,moyen,b1,moyen,moyen,moyen,moyen,moyen,moyen,moyen,b1,13.3,37.8,45.2,12.2,4.4,39.0,36.0,8.2,0.1,1.9,6.9,13.8,17.6,14.1,26.4,19.1,27.7,67.3,27.0,81.2,12.8,0.1,3.1,8.5,6.0,214.0,771.0,1534.0,1957.0,1572.0,2936.0,2124.0,91.0,33.0,290.0,268.0,61.0,99.0,281.0,336.0,206.0,501.0,201.0,604.0,95.0,1.0,23.0,63.0
